time,active_connections,app,cpu,cpu_temperature,disk_read_bytes,disk_usage_percent,disk_write_bytes,health_status,load_avg_15m,load_avg_1m,load_avg_5m,memory,network_recv_bytes,network_sent_bytes,process_count,response_time,thread_count,timestamp,uptime_seconds
2025-03-18T18:37:51.084935Z,6,service2,0.8,0.0,8751379456,0.3,8072503296,Critical,0.04052734375,0.0771484375,0.04150390625,18.6,36122,48903,1,1790.9104824066162,3,2025-03-18T18:37:51.083000,68389.08230948448
2025-03-18T18:37:51.450055Z,6,service1,0.6,0.0,8751379456,0.3,8072658944,Healthy,0.04052734375,0.0771484375,0.04150390625,18.6,37306,48759,1,1420.553207397461,3,2025-03-18T18:37:51.448332,68389.44769620895
2025-03-18T18:37:51.524078Z,5,service2,0.7,0.0,8751379456,0.3,8072658944,Critical,0.04052734375,0.0771484375,0.04150390625,18.6,36772,50715,1,1294.7604656219482,2,2025-03-18T18:37:51.522334,68389.5217115879
2025-03-18T18:37:52.398362Z,6,service1,0.8,0.0,8751379456,0.3,8072658944,Critical,0.04052734375,0.0771484375,0.04150390625,18.6,38330,50707,1,1785.715103149414,3,2025-03-18T18:37:52.396503,68390.39587283134
2025-03-18T18:37:53.734478Z,7,service2,0.5,0.0,8751379456,0.3,8072716288,Warning,0.04052734375,0.0771484375,0.04150390625,18.6,39138,53484,1,1788.4576320648193,4,2025-03-18T18:37:53.732374,68391.7316570282
2025-03-18T18:37:54.237434Z,7,service1,0.7,0.0,8751379456,0.3,8072716288,Healthy,0.04052734375,0.0771484375,0.04150390625,18.6,40936,53875,1,1919.3060398101807,4,2025-03-18T18:37:54.235289,68392.23427677155
2025-03-18T18:37:54.239657Z,6,service2,0.7,0.0,8751379456,0.3,8072716288,Critical,0.04052734375,0.0771484375,0.04150390625,18.6,41130,56557,1,1592.1788215637207,3,2025-03-18T18:37:54.237786,68392.2368812561
2025-03-18T18:37:54.260703Z,6,service1,1.3,0.0,8751379456,0.3,8072716288,Warning,0.04052734375,0.0771484375,0.04150390625,18.6,41586,55685,1,1233.7019443511963,3,2025-03-18T18:37:54.258671,68392.2579627037
2025-03-18T18:37:54.485323Z,5,service2,1.4,0.0,8751379456,0.3,8072716288,Critical,0.0400390625,0.07080078125,0.04052734375,18.6,41780,58367,1,1449.2261409759521,2,2025-03-18T18:37:54.483389,68392.48276686668
2025-03-18T18:37:54.563804Z,6,service1,1.5,0.0,8751379456,0.3,8072716288,Critical,0.0400390625,0.07080078125,0.04052734375,18.6,42607,57633,1,1238.9395236968994,3,2025-03-18T18:37:54.561967,68392.56131958961
2025-03-18T18:37:56.371263Z,7,service1,0.4,0.0,8751379456,0.3,8072716288,Warning,0.0400390625,0.07080078125,0.04052734375,18.6,44003,59725,1,1838.411569595337,4,2025-03-18T18:37:56.369408,68394.36876440048
2025-03-18T18:37:57.054783Z,7,service1,0.8,0.0,8751379456,0.3,8072716288,Warning,0.0400390625,0.07080078125,0.04052734375,18.6,46367,62938,1,1236.6106510162354,4,2025-03-18T18:37:57.052563,68395.0518450737
2025-03-18T18:37:57.307002Z,5,service2,0.9,0.0,8751379456,0.3,8072716288,Critical,0.0400390625,0.07080078125,0.04052734375,18.6,45229,62475,1,1733.6373329162598,2,2025-03-18T18:37:57.305203,68395.3045604229
2025-03-18T18:37:57.330245Z,6,service1,1.1,0.0,8751379456,0.3,8072716288,Healthy,0.0400390625,0.07080078125,0.04052734375,18.6,47017,64746,1,1900.827169418335,3,2025-03-18T18:37:57.328429,68395.32772636414
2025-03-18T18:37:58.218985Z,6,service1,0.7,0.0,8751379456,0.3,8072716288,Critical,0.0400390625,0.07080078125,0.04052734375,18.6,48036,66694,1,1785.5157852172852,3,2025-03-18T18:37:58.216979,68396.21597933769
2025-03-18T18:37:59.031906Z,6,service2,1.2,0.0,8751379456,0.3,8072749056,Warning,0.0400390625,0.07080078125,0.04052734375,18.6,47230,65104,1,1404.9732685089111,3,2025-03-18T18:37:59.030058,68397.02942347527
2025-03-18T18:37:59.571379Z,7,service1,0.8,0.0,8751379456,0.3,8072749056,Critical,0.03955078125,0.06494140625,0.03955078125,18.6,50643,69864,1,1725.7740497589111,4,2025-03-18T18:37:59.569548,68397.56875228882
2025-03-18T18:37:59.685905Z,7,service2,1.0,0.0,8751379456,0.3,8072749056,Healthy,0.03955078125,0.06494140625,0.03955078125,18.6,49225,67733,1,1621.255874633789,4,2025-03-18T18:37:59.683962,68397.68312430382
2025-03-18T18:38:00.843453Z,6,service2,0.7,0.0,8751379456,0.3,8072814592,Critical,0.03955078125,0.06494140625,0.03955078125,18.6,50610,70269,1,1437.8631114959717,3,2025-03-18T18:38:00.840984,68398.8399848938
2025-03-18T18:38:00.849453Z,7,service1,0.7,0.0,8751379456,0.3,8072814592,Critical,0.03955078125,0.06494140625,0.03955078125,18.6,52269,72357,1,1404.1640758514404,4,2025-03-18T18:38:00.846573,68398.84524512291
2025-03-18T18:38:00.887117Z,6,service1,1.0,0.0,8751379456,0.3,8072814592,Healthy,0.03955078125,0.06494140625,0.03955078125,18.6,52919,74171,1,1965.5115604400635,3,2025-03-18T18:38:00.885244,68398.88440561295
2025-03-18T18:38:01.401021Z,5,service2,0.8,0.0,8751379456,0.3,8072814592,Healthy,0.03955078125,0.06494140625,0.03955078125,18.6,51260,72081,1,1920.8450317382812,2,2025-03-18T18:38:01.398552,68399.3976650238
2025-03-18T18:38:02.340074Z,6,service1,0.7,0.0,8751379456,0.3,8072814592,Critical,0.03955078125,0.06494140625,0.03955078125,18.6,54676,76849,1,1538.1438732147217,3,2025-03-18T18:38:02.337333,68400.33641147614
2025-03-18T18:38:02.921520Z,6,service1,0.6,0.0,8751379456,0.3,8072814592,Healthy,0.03955078125,0.06494140625,0.03955078125,18.7,55700,78803,1,1433.9826107025146,3,2025-03-18T18:38:02.919670,68400.91899633408
2025-03-18T18:38:03.149731Z,8,service2,0.5,0.0,8751379456,0.3,8072814592,Warning,0.03955078125,0.06494140625,0.03955078125,18.7,53393,74451,1,1740.4167652130127,5,2025-03-18T18:38:03.147528,68401.14676713943
2025-03-18T18:38:03.432039Z,7,service2,0.8,0.0,8751379456,0.3,8072814592,Healthy,0.03955078125,0.06494140625,0.03955078125,18.7,54043,76263,1,1293.748140335083,4,2025-03-18T18:38:03.430309,68401.42959713936
2025-03-18T18:38:04.223340Z,7,service2,1.3,0.0,8751379456,0.3,8072867840,Healthy,0.03955078125,0.06494140625,0.03955078125,18.7,55062,78213,1,1867.593765258789,4,2025-03-18T18:38:04.221517,68402.22088932991
